Name,Position,Age,ca,pa,Nationality,Club,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggressiion,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off The Ball,Position,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Stability,Foul,Contest performance,Injury,diversity,Aerial Reach,Command Of Area,Communication,Eccentricity,Handling,Kicking,One On Ones,Reflexes,Rushing Out,Punching,Throwing,Adaptation,Ambition,Argue,Loyal,Resistant to stress,Professional,Sportsmanship,Emotional control,GK,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST,Height,Weight,Left Foot,Right Foot,Values,Current reputation,Domestic reputation,World reputation,Race,RCA,Colour of skin,Date of birth,Number of national team appearances,Goals scored for the national team,Salary,Rental club,UID
Quentin Boisgard,M/AM RLC,25,120,135,France,FC Lorient,13,12,14,10,15,12,4,11,3,6,12,14,6,15,5,12,8,11,12,13,12,8,15,9,11,11,13,12,14,14,13,7,13,12,12,12,11,5,10,5,13,2,1,3,4,3,2,1,1,1,2,1,13,11,3,14,11,13,12,19,1,1,1,1,1,1,1,15,17,15,18,20,16,10,174,75,7,20,1372539,5846,5996,3599,Mediterranean_Hispanic,115,6,1997/3/17,0,0,5439,,48037012
Sean McDermott,GK,29,120,124,"Republic of Ireland,Norway,United States",Kristiansund BK,3,3,7,1,11,4,11,3,1,1,9,1,1,12,14,10,11,11,12,9,10,13,9,6,1,11,11,11,13,14,9,14,15,10,8,12,15,8,16,4,14,12,12,12,10,14,9,15,17,15,13,12,18,13,6,11,10,14,14,11,20,1,1,1,1,1,1,1,1,1,1,1,1,1,185,81,10,20,1094609,6011,5761,4005,Northern_European,117,4,1993/5/30,0,0,1109,,53049028
Valon Berisha,M/AM LC,29,120,130,"Kosovo,Norway",Stade de Reims,10,10,12,10,12,11,8,9,4,7,12,15,8,13,15,12,14,12,10,12,11,13,12,10,14,8,13,12,14,15,8,7,16,14,13,13,12,12,11,12,10,1,1,2,2,3,3,3,2,3,1,2,11,12,10,13,12,15,14,9,1,1,1,1,1,1,1,17,20,12,17,18,12,10,176,70,10,20,3529137,6377,6622,5477,Northern_European,112,4,1993/2/7,36,4,18410,Melbourne City FC,53045627
Zaydou Youssouf,M C,23,120,140,"France,Comoros",Futebol Clube de Famalicão,12,13,14,10,13,11,8,11,5,8,12,11,8,14,13,11,13,12,11,13,12,12,14,12,13,11,11,14,14,14,14,10,13,13,13,11,12,6,13,7,12,3,1,1,3,1,1,1,3,3,1,3,15,13,8,12,8,13,10,11,1,1,1,1,1,1,12,1,20,1,1,15,13,1,182,81,20,11,1524300,6000,6000,4000,African_Caribbean,121,14,1999/7/11,0,0,5350,,48042327
Taylan Antalyalı,DM/M C,27,120,130,Turkey,Galatasaray A.Ş.,11,11,10,9,13,10,8,10,5,9,13,12,12,13,12,13,13,13,13,12,12,14,12,8,11,10,15,15,12,12,13,9,14,12,15,12,14,8,10,7,14,1,2,3,3,1,3,2,3,1,2,1,15,12,7,16,14,17,14,14,1,1,5,1,1,1,18,1,20,1,1,12,1,10,180,75,12,20,1590182,6050,6050,4100,Mediterranean_Hispanic,120,3,1995/1/8,9,0,7089,MKE Ankaragücü,70075966
Amahl Pellegrino,AM/S RL,32,120,125,"Norway,Tanzania",FK Bodø/Glimt,11,14,10,15,13,12,7,15,4,4,11,13,3,12,6,14,4,15,14,13,13,14,13,3,14,5,13,12,14,13,7,10,18,13,13,7,14,4,15,11,8,2,3,1,3,3,3,1,1,3,1,2,11,17,12,7,11,12,12,5,1,1,1,1,1,1,1,1,1,1,20,13,15,16,190,68,10,20,291803,5953,5953,3754,Mixed_Race,117,13,1990/6/18,0,0,1935,,53038850
Soner Dikmen,DM/M C,28,120,125,Turkey,Konyaspor,12,9,10,6,11,12,12,11,6,12,12,12,14,11,12,12,14,12,12,12,12,10,11,12,11,12,14,14,12,12,12,13,14,12,13,13,11,10,12,5,13,2,2,1,4,2,3,1,3,1,1,3,13,10,5,13,8,13,13,15,1,1,8,12,1,1,20,1,16,1,1,12,1,1,179,77,12,20,2544290,5950,5950,4850,Mediterranean_Hispanic,120,5,1993/9/1,0,0,2764,,70079631
Okan Kocuk,GK,26,120,130,Turkey,Galatasaray A.Ş.,3,1,1,2,12,7,8,3,1,3,13,2,2,12,8,12,9,12,14,10,12,12,6,8,4,13,9,10,11,14,11,14,13,11,10,11,12,12,12,10,15,11,10,10,4,13,16,15,15,12,5,11,8,13,7,10,9,14,14,12,20,1,1,1,1,1,1,1,1,1,1,1,1,1,191,75,10,20,1330405,6000,6000,4000,Northern_European,121,4,1995/7/27,0,0,4692,,70063195
Lars Sætra,D C,31,120,121,Norway,Kalmar FF,5,9,6,6,10,7,14,6,13,14,11,6,13,10,6,14,16,13,13,9,13,13,5,11,10,14,12,11,10,7,14,16,10,11,13,14,14,5,11,15,7,1,2,3,2,1,2,3,1,3,3,2,16,11,1,13,14,14,16,16,1,1,20,8,1,1,1,1,1,1,1,1,1,1,195,90,8,20,347975206,6000,5400,1000,Northern_European,120,1,1991/7/24,0,0,1118,,53030098
Markus Henriksen,D/DM/M C,30,120,134,Norway,Rosenborg BK,10,11,9,13,13,11,13,13,7,11,12,11,13,13,16,15,16,14,13,13,15,12,10,15,11,12,16,13,7,8,13,13,14,8,15,14,11,14,11,5,10,1,3,3,1,1,1,2,1,3,3,1,10,14,2,11,12,18,11,12,1,1,20,1,1,1,18,1,19,1,1,14,1,1,187,85,8,20,2271925,6060,6060,5032,Northern_European,120,4,1992/7/25,57,3,6772,,53018716
Rafik Guitane,M/AM RC,23,120,134,"France,Algeria",Stade de Reims,12,12,15,8,13,11,6,9,5,6,13,10,5,16,7,11,9,14,11,14,11,8,15,10,12,9,9,11,13,16,14,5,11,13,11,8,10,7,14,14,10,3,2,3,3,1,3,3,3,3,3,3,10,14,8,12,13,12,8,10,1,1,1,1,1,1,1,1,18,1,12,20,18,1,170,60,20,12,1853658,6000,6000,4008,North_African__Middle_Eastern,117,11,1999/5/26,0,0,6547,,48043095
Ruben Gabrielsen,D C,30,120,127,"Norway,Cameroon",Austin FC,7,9,6,8,11,8,13,8,12,12,12,3,15,12,13,10,15,11,8,7,10,12,12,13,9,12,12,15,13,10,16,15,13,13,13,17,14,16,11,6,17,4,1,3,1,3,2,1,1,1,3,2,10,15,10,10,12,16,12,10,1,1,20,1,1,1,1,1,1,1,1,1,1,1,187,86,10,20,1786115,5900,5833,3683,Mixed_Race,117,11,1992/3/10,1,0,18419,,53020355
Vegar Hedenstad,D/WB R,31,120,120,Norway,Vålerenga Fotball,15,16,11,8,13,15,7,12,13,9,14,8,12,13,15,12,10,11,11,12,12,15,12,9,12,10,15,15,14,12,8,9,15,13,14,9,14,5,10,12,16,2,3,1,1,3,3,3,1,2,2,2,9,14,6,13,10,14,16,14,1,12,1,20,10,19,1,1,1,1,1,1,1,1,178,74,8,20,347975206,5822,5922,3779,Northern_European,114,4,1991/6/26,4,0,1565,,53011083
Samet Akaydin,D C,28,120,130,Turkey,Adana Demirspor A.Ş.,5,5,8,6,8,4,14,4,4,14,10,5,14,9,18,12,18,10,13,8,9,14,6,11,10,13,14,15,13,13,13,15,13,13,14,14,14,16,12,6,13,2,2,1,2,3,1,1,1,2,1,3,14,15,5,7,12,16,12,13,1,1,20,1,1,1,1,1,1,1,1,1,1,1,190,0,12,20,2465162,6050,6050,4062,Mediterranean_Hispanic,121,5,1994/3/13,0,0,10605,,70079807
Stefan Johansen,DM/M C,31,120,133,Norway,Queens Park Rangers,12,13,11,11,13,13,9,12,6,11,15,6,13,14,16,13,12,14,11,14,14,18,12,14,12,11,17,11,10,11,14,9,15,9,13,11,13,13,15,8,14,3,1,1,2,4,1,1,2,3,3,3,15,17,6,13,13,15,8,6,1,1,1,1,1,1,18,10,20,10,10,15,10,1,180,70,20,8,347975206,6000,6000,4500,Northern_European,119,4,1991/1/8,55,6,15079,,53015044
Jonatan Tollås Nation,D C,32,120,122,Norway,Vålerenga Fotball,6,6,7,5,9,6,12,7,6,14,12,7,14,11,11,13,8,12,14,8,13,14,7,18,10,14,14,12,10,8,10,16,12,10,14,13,11,7,14,13,7,3,2,3,4,2,3,3,3,3,1,1,10,12,7,13,13,15,14,14,1,1,20,1,1,1,1,1,1,1,1,1,1,1,189,83,13,20,125464,5553,5553,3370,Northern_European,120,4,1990/7/1,0,0,2017,,53020705
Sacha Boey,D R,21,120,140,"France,Cameroon",Galatasaray A.Ş.,5,11,10,8,11,5,6,7,10,14,11,7,13,11,14,11,12,12,13,10,12,13,8,15,11,13,14,14,14,14,13,11,13,14,15,12,14,8,4,6,14,2,1,2,1,2,3,3,1,3,1,2,12,12,6,7,14,13,13,14,1,10,1,20,1,14,1,1,1,10,1,1,1,1,178,70,8,20,6666521,6095,5445,4245,African_Caribbean,121,15,2000/9/13,0,0,15384,,49038965
Elba Rashani,M/AM RL,29,120,126,"Kosovo,Norway,Albania",Clermont Foot 63,12,12,13,13,14,13,5,12,5,4,12,9,4,14,5,13,6,13,8,14,13,13,16,5,14,5,13,13,13,14,12,10,10,13,13,11,12,10,11,10,8,3,2,4,2,1,2,2,2,2,3,4,10,12,1,13,11,11,13,4,1,1,1,1,1,1,1,17,5,15,20,10,17,6,181,71,20,10,1683685,6000,6000,4000,Northern_European,120,4,1993/5/9,22,4,6344,,53052272
Fernando Torrent,D/WB/M R,30,120,122,Argentina,Club Atlético Rosario Central,8,11,13,9,12,10,11,10,11,13,12,6,12,11,10,13,11,12,13,12,12,13,10,8,13,13,13,13,12,12,12,9,11,14,12,10,14,6,9,12,8,2,1,3,1,3,3,1,2,2,4,2,20,13,8,10,12,13,13,13,1,1,1,20,1,18,1,1,1,18,1,1,14,1,173,76,10,20,905746,6073,6073,3235,Northern_European,114,6,1991/10/2,0,0,11671,,14133660
Petter Strand,M C,27,120,127,Norway,Vålerenga Fotball,11,11,11,8,12,13,8,13,8,11,12,9,14,12,15,11,16,11,12,12,11,14,8,8,11,12,15,19,13,10,11,8,11,12,18,11,15,13,12,6,12,1,3,3,3,2,1,1,3,3,3,2,13,13,3,10,14,14,14,16,1,6,1,10,7,11,13,8,20,12,1,1,1,1,177,70,8,20,1231336,5911,5911,3308,Northern_European,118,6,1994/8/24,0,0,1916,,53109881
Ivan Näsberg,D C,26,120,125,Norway,AS PAOK Salonika,5,9,8,6,10,7,12,8,8,13,12,7,14,11,15,13,14,10,13,10,11,13,4,15,10,14,12,13,11,10,12,15,12,12,13,14,12,7,14,4,8,2,1,3,2,3,1,1,4,2,3,4,19,13,3,16,12,14,13,12,1,10,20,1,1,1,1,1,1,1,1,1,1,1,187,88,20,8,1786048,5750,5850,2750,Northern_European,118,3,1996/4/22,0,0,9934,,53096761
Anders Trondsen,D/M LC,27,120,130,Norway,,14,15,11,7,12,13,8,14,6,11,15,12,13,12,12,10,12,11,12,14,12,12,13,7,13,11,13,14,10,12,12,9,12,9,14,12,11,9,12,8,12,3,2,1,3,2,3,3,1,2,3,3,11,12,6,12,11,14,12,13,1,18,1,1,1,1,12,12,20,1,1,1,1,1,183,78,20,13,-1,6000,5950,4000,Northern_European,120,1,1995/3/30,4,0,,,53098755
Guido Mainero,M/AM RL,27,120,121,Argentina,Club Atlético Vélez Sarsfield,11,11,14,10,13,10,7,9,5,5,13,10,5,13,13,13,11,10,10,12,10,12,12,7,14,9,13,12,15,14,10,9,13,14,13,9,10,4,10,8,10,2,2,2,1,1,1,2,2,3,2,2,11,10,4,13,12,12,12,11,1,1,1,1,1,10,1,16,1,17,20,1,19,10,177,66,10,20,823016,6033,6033,3075,Northern_European,117,4,1995/3/23,0,0,7023,Club Atlético Sarmiento de Junín,14129017
Marius Lode,D RC,29,120,125,Norway,FK Bodø/Glimt,4,8,12,6,12,5,12,7,8,13,13,9,13,12,15,13,13,15,13,12,12,13,11,13,10,14,14,12,11,11,13,12,15,12,13,13,13,10,15,5,10,3,3,1,1,4,3,3,2,2,1,2,6,12,4,14,11,15,12,11,1,10,20,15,1,1,1,1,1,1,1,1,1,1,185,77,10,20,1912396,6000,6000,4000,Northern_European,120,1,1993/3/11,2,0,4837,,53099324
Andreas Vindheim,D/WB R,26,120,125,Norway,Sparta Prague,12,14,12,9,11,5,11,5,8,11,13,6,12,11,12,12,11,11,12,12,12,12,11,6,14,12,12,13,14,13,14,10,12,14,14,12,12,6,12,10,6,4,2,4,3,2,2,4,3,3,2,1,15,13,5,14,10,14,13,13,1,10,1,20,10,19,1,1,1,15,1,1,5,1,184,79,8,20,798603,6000,5950,3000,Northern_European,117,3,1995/8/4,1,0,5075,,53093256
Abdülkerim Bardakcı,D C,27,120,130,Turkey,Galatasaray A.Ş.,8,10,12,8,12,6,13,9,7,13,13,7,13,12,15,13,14,14,11,12,12,13,10,10,9,12,12,13,12,12,14,13,14,13,12,14,13,10,12,7,9,1,3,3,4,2,2,4,3,1,1,1,11,12,10,12,10,12,10,12,1,14,20,1,1,1,10,1,1,1,1,1,1,1,184,81,20,10,1291275,6000,6000,4009,Mediterranean_Hispanic,122,7,1994/9/7,0,0,30132,,70062993
Daouda Bamba,S RL,27,120,125,"Ivory Coast,Norway",CSKA-Sofia,6,8,13,12,12,7,13,11,4,4,11,9,3,13,14,15,13,8,7,10,8,15,15,4,14,6,13,16,14,15,11,12,13,15,16,15,13,13,13,6,9,3,1,3,3,1,2,1,3,1,2,3,12,13,14,14,7,6,5,17,1,1,1,1,1,1,1,1,1,1,15,1,15,20,184,75,8,20,966414,5900,5500,3900,African_Caribbean,118,16,1995/3/5,0,0,6904,,53097350
Moryké Fofana,AM RL,30,120,130,Ivory Coast,Samsunspor,7,12,17,13,13,8,7,12,7,5,12,7,6,16,13,12,9,11,10,12,9,11,17,7,12,7,10,12,14,15,14,9,13,13,11,12,8,7,10,12,12,2,2,1,3,1,3,3,3,3,1,4,12,11,7,10,10,12,13,13,1,1,1,1,1,1,1,13,1,10,20,1,15,1,175,80,8,20,2117173,5950,5600,3950,African_Caribbean,117,17,1991/11/23,0,0,7671,,53089849
Zymer Bytyqi,AM RL,25,120,125,"Kosovo,Norway",Konyaspor,10,13,15,12,15,13,5,14,4,4,13,11,5,15,10,10,7,12,9,13,12,9,15,4,11,7,10,12,13,14,13,6,11,13,11,8,11,6,14,3,14,3,4,3,1,4,1,1,4,3,3,1,7,11,16,5,9,10,8,8,1,1,1,1,1,1,1,15,7,15,20,12,20,13,176,70,14,20,1576778,5850,5500,5000,Mediterranean_Hispanic,119,2,1996/9/11,15,1,9500,,53074943
Lisandro Alzugaray,AM LC,32,120,125,Argentina,,13,14,15,13,14,10,9,14,8,9,13,11,8,14,12,13,9,9,13,14,14,11,11,8,16,9,15,13,12,11,11,8,11,12,11,10,13,8,10,8,14,1,2,1,4,3,3,1,2,3,2,1,9,13,14,12,13,7,13,12,1,1,1,1,1,1,1,10,13,1,15,20,13,10,172,72,20,9,-1,5900,5900,3250,Native_American,121,10,1990/4/17,0,0,,,14130772
Gustav Wikheim,AM RLC,29,120,137,"Norway,Brazil",Djurgårdens IF,11,11,14,10,14,10,5,9,5,5,13,6,6,14,11,13,10,13,9,12,9,11,16,4,12,7,12,12,15,14,13,9,13,14,12,8,10,10,10,3,10,3,2,2,3,3,2,3,2,2,1,2,10,13,8,10,10,11,11,9,1,1,1,1,1,1,1,15,10,15,20,15,17,14,182,70,10,20,1107091,6000,5850,4000,Northern_European,116,1,1993/3/18,0,0,2795,,53061054
Emre Kılınç,M/AM RLC,27,120,130,Turkey,Galatasaray A.Ş.,12,11,13,12,11,10,9,12,6,7,13,11,10,14,14,12,13,12,11,12,12,11,11,7,13,9,13,13,14,14,10,7,13,13,13,8,13,7,13,8,16,4,1,2,3,1,1,1,1,2,2,2,12,15,5,13,11,14,15,14,1,1,1,1,1,1,1,15,18,15,16,15,20,1,174,65,20,9,1673876,6050,6050,5000,Mediterranean_Hispanic,118,6,1994/8/23,4,0,15952,MKE Ankaragücü,70056734
Juan Infante,D/WB L,26,120,121,Argentina,Club Atlético Platense,8,13,13,11,12,8,13,12,13,11,13,3,14,13,11,12,9,12,14,11,12,15,10,13,13,13,14,13,13,11,11,11,11,13,13,12,14,12,14,5,14,1,2,2,3,3,1,3,1,3,1,3,8,11,8,15,14,14,12,10,1,20,1,1,16,1,1,10,1,1,1,1,1,1,177,76,20,9,1995869,6065,6065,3296,Mediterranean_Hispanic,120,11,1996/1/7,0,0,3614,,14130969
Ghayas Zahid,AM C,27,120,135,"Norway,Pakistan",MKE Ankaragücü,13,13,14,12,15,12,7,12,4,6,14,10,7,15,7,11,8,12,10,14,12,11,15,9,14,8,13,11,13,14,12,7,11,12,12,9,11,10,12,10,8,3,1,1,3,1,2,2,3,1,4,1,15,14,8,12,8,13,12,10,1,1,1,1,1,1,10,6,14,6,10,20,7,9,173,66,10,20,1988841,6044,5744,4244,North_African__Middle_Eastern,120,7,1994/9/18,2,1,10000,,53089891
Bafodé Diakité,D RC,21,120,156,"France,Guinea",LOSC Lille,5,12,10,12,11,4,14,8,11,13,11,9,13,8,12,13,13,10,10,9,12,15,11,12,13,11,13,13,13,13,14,14,14,13,12,14,12,10,10,5,13,3,2,4,1,2,1,3,2,1,2,3,8,14,6,14,9,14,12,17,1,12,20,16,1,1,1,1,1,1,1,1,1,1,185,74,8,20,12280000,6000,6000,3500,African_Caribbean,120,17,2001/1/6,0,0,7256,,49038967
Chuba Akpom,S,26,120,125,"England,Nigeria",Middlesbrough,6,9,10,11,10,7,10,8,4,7,10,10,7,12,12,11,14,12,10,10,10,13,13,8,14,6,13,14,17,14,15,13,14,16,14,14,12,8,14,6,8,1,3,3,3,3,3,1,2,2,2,2,12,15,3,9,12,15,15,16,1,1,1,1,1,1,1,1,1,1,6,10,7,20,186,81,8,20,2280772,6000,5900,3018,African_Caribbean,117,15,1995/10/9,0,0,28998,,28084927
Anass Zaroury,AM RL,21,120,138,"Belgium,Morocco",Burnley,9,11,14,7,14,8,5,8,6,7,12,3,5,14,10,12,14,10,12,10,12,4,16,7,12,8,11,11,15,14,9,9,12,14,11,9,12,6,18,6,14,2,3,3,1,2,1,2,3,1,3,2,12,14,5,8,11,8,11,7,1,1,1,1,1,1,1,13,1,13,20,1,19,8,180,0,14,20,11617732,6000,6000,3000,North_African__Middle_Eastern,116,8,2000/11/7,0,0,13919,,18106037
Douglas Augusto,DM/M/AM C,25,120,135,Brazil,AS PAOK Salonika,8,10,11,11,12,9,9,13,9,13,13,13,13,13,16,12,13,12,11,11,13,14,12,11,10,13,12,13,11,13,12,9,12,12,12,12,12,15,10,14,12,3,2,2,4,1,1,2,3,1,1,1,11,12,9,12,13,10,7,6,1,1,1,1,1,1,19,1,20,1,1,16,1,1,173,68,20,10,3526874,6250,6250,3030,Mediterranean_Hispanic,116,12,1997/1/13,0,0,28766,,19259561
Marquinhos Cipriano,D L,23,120,140,Brazil,Shakhtar Donetsk,10,11,12,14,13,5,10,9,7,12,12,11,12,10,11,14,11,11,10,9,13,14,13,3,14,13,8,13,12,15,13,8,15,14,9,10,8,6,10,5,14,4,1,4,3,2,3,1,3,2,1,2,9,13,1,9,12,11,12,14,1,20,1,1,15,1,1,14,1,1,14,14,14,14,171,65,20,12,1997076,5808,5808,2914,Mediterranean_Hispanic,110,14,1999/2/9,0,0,6117,CEC,19258658
Denis Kolinger,D C,28,120,125,Croatia,Vejle Boldklub,2,3,5,6,9,3,14,6,8,14,10,5,15,9,17,12,17,8,15,6,13,17,4,15,8,14,15,13,6,5,14,20,13,8,13,18,14,11,13,7,6,2,3,2,1,2,3,2,2,3,3,1,12,12,8,17,14,12,14,8,1,1,20,1,1,1,1,1,1,1,1,1,1,1,199,92,10,20,1149924,5950,5900,4700,Northern_European,118,6,1994/1/14,1,0,3360,FC CFR 1907 Cluj,24021583
Mateus Vital,M/AM RLC,24,120,132,Brazil,COR,11,12,14,11,14,12,8,13,4,5,14,14,5,15,8,13,7,10,10,13,11,9,15,7,13,7,8,10,14,13,11,9,13,14,12,9,11,3,10,6,8,2,3,1,3,2,1,1,1,2,3,4,14,12,6,12,12,16,14,15,1,1,1,1,1,1,1,16,7,16,20,16,17,1,175,65,10,20,858143,5940,5940,3052,Mediterranean_Hispanic,117,5,1998/2/12,0,0,4916,,19251417
Karlo Muhar,DM,26,120,125,Croatia,FC CFR 1907 Cluj,7,8,11,8,12,8,12,8,7,13,12,10,14,12,16,12,13,11,11,12,11,12,9,13,10,12,13,13,12,12,12,13,11,12,13,13,10,13,7,7,10,3,1,1,3,1,3,1,1,3,2,3,10,12,5,13,11,13,13,14,1,1,1,1,1,1,20,1,12,1,1,1,1,1,188,83,9,20,1674952,5850,5800,4450,Northern_European,112,6,1996/1/17,0,0,3146,,24039536
Andrija Balić,DM/M/AM C,24,120,139,Croatia,FK DAC 1904 Dunajska Streda,13,11,12,9,14,12,9,14,8,7,14,11,8,15,18,12,12,12,10,14,10,13,15,7,12,8,13,11,13,14,13,10,12,12,12,8,12,8,13,6,14,1,3,3,3,3,3,2,2,3,4,3,12,13,10,14,12,14,13,11,1,1,1,1,1,1,20,10,19,10,10,17,10,1,180,71,12,20,461888,6000,5700,4004,Northern_European,106,1,1997/8/11,0,0,1684,,24039949
Caju,D L,27,120,120,Brazil,Aris Limassol,11,11,13,12,13,8,7,11,15,12,14,5,11,13,8,13,14,12,12,10,12,11,12,8,14,11,12,15,14,14,10,8,15,15,13,11,12,4,11,5,7,1,4,2,2,2,3,2,1,1,1,1,14,12,4,11,12,14,11,11,1,20,1,1,15,1,1,1,1,1,1,1,1,1,185,70,20,8,841498,6000,6000,4000,African_Caribbean,120,16,1995/7/17,0,0,3000,,19249629
Thiago Santos,DM/M C,32,120,129,Brazil,GRE,6,8,8,8,11,7,12,8,11,14,10,8,15,11,15,15,15,12,11,10,12,14,11,9,10,14,16,16,11,12,13,12,13,12,14,14,12,16,12,7,6,1,3,3,3,3,1,1,1,2,3,1,9,12,7,12,11,14,9,10,1,1,13,1,1,1,20,1,16,1,1,1,1,1,181,78,9,20,97472,5912,5912,3440,Mixed_Race,119,10,1989/9/5,0,0,13418,,19249773
Ivan Nevistić,GK,23,120,130,Croatia,GNK Dinamo Zagreb,2,1,2,3,7,7,8,3,3,1,10,1,3,7,11,13,13,12,11,6,10,11,2,10,1,13,10,10,12,13,12,18,6,10,10,13,9,7,8,12,12,17,15,11,13,10,9,14,16,14,14,12,14,12,7,10,8,13,12,11,20,1,1,1,1,1,1,1,1,1,1,1,1,1,195,88,5,20,904602,5900,5900,4900,Northern_European,118,5,1998/7/31,0,0,2877,,24046817
Daniel Fuzato,GK,25,120,130,"Brazil,Italy",Ibiza,2,3,6,3,9,1,2,3,3,3,10,6,2,9,11,13,14,13,11,7,10,4,13,9,1,13,14,13,12,13,8,15,15,12,11,14,13,5,10,3,1,13,11,11,12,13,13,13,15,13,10,13,20,10,1,12,10,13,11,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,191,88,5,20,1113134,6000,5400,3400,Mediterranean_Hispanic,119,3,1997/7/4,0,0,3567,,19220270
Matheus Rossetto,DM/M C,26,120,134,"Brazil,Italy,United States",Atlanta United FC,11,11,13,10,13,12,11,14,11,12,14,10,11,13,11,13,12,11,12,12,13,12,12,12,12,13,12,12,13,13,13,12,12,13,13,11,12,14,13,13,12,2,2,1,2,1,1,3,3,2,3,3,12,13,9,13,12,12,9,12,1,1,1,1,1,13,18,1,20,13,1,10,1,1,181,75,7,20,4839049,5891,5998,3515,Northern_European,123,9,1996/6/3,0,0,12845,,19226436
Neven Đurasek,DM/M C,23,120,128,Croatia,Shakhtar Donetsk,6,8,12,10,12,6,9,8,5,11,14,8,14,11,14,13,14,11,12,14,13,14,8,8,14,11,13,13,13,13,12,7,14,14,15,10,11,9,10,9,8,1,1,1,3,4,1,3,3,1,2,3,14,6,5,13,8,12,11,9,1,1,1,1,1,1,19,1,20,1,1,1,1,1,180,74,10,20,1625251,5500,5500,2250,Northern_European,120,4,1998/8/15,0,0,3763,,24050832
Rafael Ratão,AM/S L,26,120,130,Brazil,Toulouse FC,8,11,15,13,14,8,12,12,8,7,13,11,7,14,12,12,12,12,12,12,12,15,15,7,13,13,14,11,14,14,12,7,15,14,12,12,12,6,13,8,12,4,2,1,1,3,3,1,2,1,1,2,13,15,8,12,12,13,8,13,1,1,1,1,1,1,1,1,1,1,20,1,13,19,183,75,5,20,1675603,5996,5996,2752,Mixed_Race,121,12,1995/11/30,0,0,6445,,19222848
Willian Oliveira,DM/M C,29,120,120,Brazil,CEA,6,6,8,8,11,7,12,7,12,13,12,7,13,11,12,13,14,12,12,12,12,14,10,10,11,13,14,15,12,12,15,13,12,12,14,11,14,12,10,10,12,1,3,2,3,1,2,3,1,2,3,1,16,12,3,9,13,9,13,14,1,1,11,1,1,1,20,1,17,1,1,1,1,1,184,71,20,15,310881,5853,5853,2639,African_Caribbean,119,14,1993/5/16,0,0,5472,CEC,19219799
Tomáš Koubek,GK,29,120,136,Czech Republic,FC Augsburg,2,1,1,1,7,2,2,2,5,6,9,5,8,6,10,12,13,11,12,6,11,15,15,16,4,12,11,8,12,12,12,13,13,12,9,15,12,10,11,8,1,16,14,15,11,10,10,14,14,11,13,14,12,13,10,15,17,8,11,8,20,1,1,1,1,1,1,1,1,1,1,1,1,1,198,95,5,20,953017,5800,6100,4600,Northern_European,120,1,1992/8/26,11,0,21152,,25022748
Jan Navrátil,AM RL,32,120,120,Czech Republic,Sigma Olomouc,6,13,15,11,14,5,4,10,3,6,14,10,5,13,9,12,12,6,13,13,12,12,14,9,12,4,14,15,15,12,6,4,13,16,11,6,11,10,12,8,14,2,1,2,1,3,1,1,2,3,1,2,10,10,6,14,12,12,10,10,1,1,1,1,1,1,1,10,10,10,20,14,19,14,170,64,10,20,347975206,6000,6000,3026,Northern_European,116,1,1990/4/13,0,0,3045,,25017173
Zé Roberto,AM/S RL,28,120,128,Brazil,CEA,6,9,13,12,13,13,11,12,7,7,11,14,7,13,12,13,13,12,9,11,10,14,14,7,13,7,8,13,15,13,11,10,12,14,13,9,13,9,12,4,13,1,1,2,2,2,1,2,3,2,2,3,13,10,5,12,12,13,8,10,1,1,1,1,1,1,1,1,1,1,17,1,15,20,180,71,11,20,222303,5873,5873,3172,Mixed_Race,116,7,1993/9/14,0,0,5472,,19197056
Zé Welison,DM/M C,27,120,126,Brazil,ATM,10,10,10,9,13,11,11,13,4,13,12,11,12,12,15,11,14,12,11,12,12,13,12,12,12,13,14,14,14,13,12,7,13,14,14,13,12,14,13,13,14,4,3,4,3,1,2,3,3,2,1,3,13,10,5,12,11,12,11,12,1,1,11,12,1,8,20,1,18,1,1,1,1,1,177,74,8,20,807010,5935,5935,2782,Mixed_Race,121,8,1995/3/11,0,0,4025,FOR,19197120
Filip Novák,D/WB L,32,120,135,Czech Republic,Al-Jazira Sports & Culture Club,11,8,13,12,13,14,14,11,15,11,12,11,11,12,11,14,15,13,11,12,12,15,12,10,15,10,12,11,12,13,13,13,13,12,13,13,11,12,12,7,14,1,1,3,1,1,3,1,2,2,3,1,12,15,3,17,13,15,12,10,1,20,14,10,20,10,1,12,1,1,10,1,1,1,184,78,20,9,347975206,6100,6150,5000,Northern_European,120,1,1990/6/26,28,2,44871,,25017282
